name,categories,lat,lng,state
Top Thai,Thai Restaurant,31.233343211695434,-85.45450319245481,AL
Ichiban,Sushi Restaurant,31.268641591711237,-85.4487158192104,AL
China Wok,Asian Restaurant,31.196950490701205,-85.37495260416107,AL
Eurasia,Asian Restaurant,31.23537934603211,-85.45111838184796,AL
Hong Kong Buffet,Asian Restaurant,31.17226783934452,-84.73411459561504,GA
Holi Indian Cuisine,Indian Restaurant,31.216005,-85.43223,AL
Happy Kitchen,Asian Restaurant,31.883633,-85.145723,AL
Panda,Chinese Restaurant,31.178949580390785,-85.40118917587255,AL
China Garden,Asian Restaurant,31.33644260633695,-85.33493570605376,AL
Number 1 Restaurant Chinese Buffet,Chinese Restaurant,31.87223365,-85.15362803333333,AL
Manchu WOK,Chinese Restaurant,31.254484071058652,-85.42445153101953,AL
Oriental Express,Chinese Restaurant,31.239445,-85.4087848,AL
China Wok,Chinese Restaurant,31.239233128213534,-85.46321839830563,AL
Number 1 Buffet,Chinese Restaurant,31.866500154020294,-85.15973156085467,AL
Dragon Garden,Chinese Restaurant,31.23060235429959,-85.43113710744102,AL
Great China,Chinese Restaurant,31.263713,-85.441464,AL
Oriental Express,Chinese Restaurant,31.183883972435922,-85.2375532997875,AL
China Wok@  Westway,Chinese Restaurant,31.239185231359336,-85.46284,Alabama
Manchu Wok,Chinese Restaurant,31.254704640410406,-85.42438099303487,AL
China Wok,Chinese Restaurant,31.228669,-85.438043,AL
New Light,Chinese Restaurant,31.26266448333333,-85.43985316666667,AL
New Garden,Chinese Restaurant,31.2303332163852,-85.43248722167871,AL
New China,Chinese Restaurant,31.55927054,-85.25413068333333,AL
China Star Chinese Restaurant,Chinese Restaurant,31.24889972449035,-85.42370080061431,AL
Kinza,Japanese Restaurant,31.196927083333332,-85.37517171666667,AL
Koi,Japanese Restaurant,31.255504116666668,-85.43258621666666,AL
Kinza Japanese Restaurant,Japanese Restaurant,31.196784,-85.375141,AL
Fuji,Japanese Restaurant,31.24779630048401,-85.42557508796756,AL
Oishi,Sushi Restaurant,31.247616151147515,-85.42556717054283,AL
Rock n Roll Sushi,Sushi Restaurant,31.238332,-85.465428,AL
Super Canton,Cantonese Restaurant,31.19149484196347,-85.4025047527426,AL
House Of China II,Chinese Restaurant,31.61116697661515,-84.2136031932798,GA
Guang Zhou,Chinese Restaurant,31.614916036396643,-84.20743500698566,GA
Rice Bowl,Asian Restaurant,31.631193294697734,-84.17522966975906,GA
Hong Kong Café,Chinese Restaurant,31.618581538871876,-84.22381796283035,GA
Mikata Japanese Steakhouse & Sushi Bar,Asian Restaurant,31.614170947503794,-84.21908591211329,GA
Crazy Buffet,Chinese Restaurant,31.577133400543982,-84.08898023591355,GA
Tokyo,Japanese Restaurant,31.619798895814785,-84.225474280144,GA
Hibachi Express,Japanese Restaurant,31.6110573347813,-84.2237240676649,GA
Tokyo Sushi & Hibachi,Japanese Restaurant,31.619568843130658,-84.22534271270119,Georgia
Cup O Rice N Wings,Asian Restaurant,31.599965,-84.175963,GA
Peacock Grill,Indian Restaurant,31.6158,-84.2237,GA
Kings Deli,Asian Restaurant,31.57765301377062,-84.176453812499,GA
Bombay Grill,Indian Restaurant,31.631525784993748,-84.17548152624491,Georgia
Hibachi Grill Buffet,Asian Restaurant,31.612246795543467,-84.21506981523406,GA
Great Wall,Asian Restaurant,31.61256793367673,-84.21849754792221,GA
China Shuttle,Asian Restaurant,31.617504904236373,-84.2168797191318,GA
